all print will write to path record/postgresql/cross/JOB_TPCH/TCNN/slow_split/pair_wo_weighted
==================================================
Model: <class 'src.models.TCNN.TCNN'>
NUM_HINT_SET: 49
app: pair
batch_size: 128
candidate_list: 30
data_root_path: ./db_benchmark_datasets
dataset: join-order-benchmark
dbms: postgresql
epochs: 50
execute_sql: 0
expname: main_adhoc
grain: adhoc
lr: 0.001
meta_save_path: record/postgresql/join-order-benchmark/execute_sql
model: TCNN
npseed: 42
pairwise: False
parameter: 
pre_execute_all: 0
sample_num: 1000
sampling: -1
save_path: record/postgresql/cross/JOB_TPCH/TCNN/slow_split/pair_wo_weighted
seed: 42
shuffle_num: 1
slow: 1
split_ratio: 0.1
src: JOB
tgt: TPCH
tolerance: 10
train: 1
weighted: False

Loaded number of JOB queries: 113
(113, 49)
(113, 49)
21a.sql
test templates:  ['7', '28', '31', '16', '19', '17', '20']
test queries:  ['16a.sql' '16b.sql' '16c.sql' '16d.sql' '17b.sql' '17f.sql' '17d.sql'
 '17c.sql' '17a.sql' '17e.sql' '19a.sql' '19d.sql' '19c.sql' '19b.sql'
 '20b.sql' '20a.sql' '20c.sql' '28c.sql' '28b.sql' '28a.sql' '31b.sql'
 '31a.sql' '31c.sql' '7b.sql' '7c.sql' '7a.sql']
test query:  ['16a.sql' '16b.sql' '16c.sql' '16d.sql' '17b.sql' '17f.sql' '17d.sql'
 '17c.sql' '17a.sql' '17e.sql' '19a.sql' '19d.sql' '19c.sql' '19b.sql'
 '20b.sql' '20a.sql' '20c.sql' '28c.sql' '28b.sql' '28a.sql' '31b.sql'
 '31a.sql' '31c.sql' '7b.sql' '7c.sql' '7a.sql']
load JOB succ
load TPCH...
TPCH test template [17, 20, 3, 9]
load TPCH succ
load TPCH_Skew...
TPCH test template [17, 20, 3, 9]
load TPCH Skew succ
train, test, validation (79, 49) (40, 49) (8, 49)
(79, 49, 3)
(79, 49)
construct training samples cost 0:00:01.503645, and there are 14311 training samples
in channel 9
Epoch 0/50 |loss: 0.398153| train set 1.156x speedup, test set 6.324x speedup, val set 0.999x speedup, step: 1, train time 19.89 s
Epoch 1/50 |loss: 0.346122| train set 1.147x speedup, test set 5.702x speedup, val set 0.999x speedup, step: 2, train time 19.09 s
Epoch 2/50 |loss: 0.314987| train set 1.175x speedup, test set 4.641x speedup, val set 0.999x speedup, step: 3, train time 17.74 s
Epoch 3/50 |loss: 0.292754| train set 1.206x speedup, test set 4.775x speedup, val set 0.537x speedup, step: 4, train time 17.61 s
Epoch 4/50 |loss: 0.272103| train set 1.234x speedup, test set 4.652x speedup, val set 0.997x speedup, step: 1, train time 17.33 s
Epoch 5/50 |loss: 0.259848| train set 1.364x speedup, test set 4.652x speedup, val set 0.929x speedup, step: 2, train time 16.99 s
Epoch 6/50 |loss: 0.244682| train set 1.270x speedup, test set 4.652x speedup, val set 0.916x speedup, step: 3, train time 17.10 s
Epoch 7/50 |loss: 0.239081| train set 1.280x speedup, test set 4.652x speedup, val set 0.997x speedup, step: 4, train time 17.10 s
Epoch 8/50 |loss: 0.225102| train set 1.327x speedup, test set 4.652x speedup, val set 0.996x speedup, step: 5, train time 17.13 s
Epoch 9/50 |loss: 0.215405| train set 1.486x speedup, test set 4.652x speedup, val set 0.925x speedup, step: 6, train time 17.21 s
Epoch 10/50 |loss: 0.208891| train set 1.299x speedup, test set 4.652x speedup, val set 0.989x speedup, step: 7, train time 17.19 s
Epoch 11/50 |loss: 0.205088| train set 1.452x speedup, test set 4.652x speedup, val set 0.981x speedup, step: 8, train time 17.19 s
Epoch 12/50 |loss: 0.193910| train set 1.471x speedup, test set 4.652x speedup, val set 0.991x speedup, step: 9, train time 17.30 s
Epoch 13/50 |loss: 0.186047| train set 1.345x speedup, test set 4.652x speedup, val set 0.991x speedup, step: 10, train time 17.10 s
Epoch 14/50 |loss: 0.186920| train set 1.421x speedup, test set 4.652x speedup, val set 0.999x speedup, step: 1, train time 17.09 s
Epoch 15/50 |loss: 0.181871| train set 1.305x speedup, test set 4.652x speedup, val set 1.001x speedup, step: 2, train time 17.18 s
Epoch 16/50 |loss: 0.173676| train set 1.388x speedup, test set 4.652x speedup, val set 0.981x speedup, step: 3, train time 17.11 s
